s_m,kappa_1pm
3.746555604094255045e+02,9.703608498790014525e-02
3.754280461009913665e+02,9.710184338449630304e-02
3.762005317925571717e+02,9.748550552357344856e-02
3.769730174841229768e+02,9.778433895473195858e-02
3.777455031756888388e+02,9.282704426177053325e-02
3.785179888672546440e+02,8.616572273755979117e-02
3.792904745588204491e+02,7.897371392145033364e-02
3.800629602503863111e+02,7.170171972920567904e-02
3.808354459419521163e+02,6.465194289185871579e-02
3.816079316335179215e+02,5.801322871983468493e-02
3.823804173250837835e+02,5.188325633393811587e-02
3.831529030166495886e+02,4.629404545331434334e-02
3.839253887082154506e+02,4.123496730025404122e-02
3.846978743997812558e+02,3.667055868653390505e-02
3.854703600913470609e+02,3.255293859511103338e-02
3.862428457829129229e+02,2.882974606896709924e-02
3.870153314744787281e+02,2.544879160395693493e-02
3.877878171660445332e+02,2.236536462043320350e-02
3.885603028576103952e+02,1.953149805690566898e-02
3.893327885491762004e+02,1.689918900463205018e-02
3.901052742407420055e+02,1.442948725715092334e-02
3.908777599323078675e+02,1.208638755775302137e-02
3.916502456238736727e+02,9.836013773886194064e-03
3.924227313154395347e+02,7.646209383017602175e-03
3.931952170070053398e+02,5.482091287489014933e-03
3.939677026985711450e+02,3.308173173237919859e-03
3.947401883901370070e+02,1.088634837799407756e-03
3.955126740817028121e+02,-1.105927505772697416e-03
3.962851597732686173e+02,-1.808622388001067871e-03
3.970576454648344793e+02,-1.918385595536081919e-03
3.978301311564002845e+02,-2.030856109027409217e-03
3.986026168479660896e+02,-2.145735560574812441e-03
3.993751025395319516e+02,-2.262697543930385687e-03
4.001475882310977568e+02,-2.381397283427056071e-03
4.009200739226636188e+02,-2.501444028814170471e-03
4.016925596142294239e+02,-2.622401411072949017e-03
4.024650453057952291e+02,-2.743788701585552717e-03
4.032375309973610911e+02,-2.865083047070179825e-03
4.040100166889268962e+02,-2.985722731252335709e-03
4.047825023804927014e+02,-3.105111488313487111e-03
4.055549880720585634e+02,-3.222623863310455656e-03
4.063274737636243685e+02,-3.337611581833858747e-03
4.070999594551901737e+02,-3.449410856271411824e-03
4.078724451467560357e+02,-3.557327570309605849e-03
4.086449308383218408e+02,-3.660628497977750587e-03
4.094174165298877028e+02,-3.758707123326439359e-03
4.101899022214535080e+02,-3.850925276963484533e-03
4.109623879130193131e+02,-3.936676314962839728e-03
4.117348736045851751e+02,-4.015394662637816400e-03
4.125073592961509803e+02,-4.086564895197718900e-03
4.132798449877167855e+02,-4.149730110444222256e-03
4.140523306792826475e+02,-4.204499362674485492e-03
4.148248163708484526e+02,-4.250491253128116029e-03
4.155973020624142578e+02,-4.287337175473047123e-03
4.163697877539801198e+02,-4.315064940203380828e-03
4.171422734455459249e+02,-4.333604274454083173e-03
4.179147591371117869e+02,-4.342967670079228744e-03
4.186872448286775921e+02,-4.343248864798557492e-03
4.194597305202433972e+02,-4.334619809366196952e-03
4.202322162118092592e+02,-4.317326231807452376e-03
4.210047019033750644e+02,-4.291681949524815860e-03
4.217771875949408695e+02,-4.258062113006373314e-03
4.225496732865067315e+02,-4.216786169941488978e-03
4.233221589780725367e+02,-4.168460497997426850e-03
4.240946446696383418e+02,-4.113603870442163191e-03
4.248671303612042038e+02,-4.052753549839454433e-03
4.256396160527700090e+02,-3.986464903672579801e-03
4.264121017443358710e+02,-3.915303034015178013e-03
4.271845874359016761e+02,-3.839834869164484178e-03
4.279570731274674813e+02,-3.760621862718319976e-03
4.287295588190333433e+02,-3.678213415267493191e-03
4.295020445105991485e+02,-3.593141102520010493e-03
4.302745302021649536e+02,-2.953686540915049369e-03
4.310470158937308156e+02,-1.591202809587708615e-03
4.318195015852966208e+02,-2.922091208945170877e-04
4.325919872768624259e+02,9.594461377338868793e-04
4.333644729684282879e+02,2.176809478674811629e-03
4.341369586599940931e+02,3.371627759735890822e-03
4.349094443515599551e+02,4.554669112715365592e-03
4.356819300431257602e+02,5.735990412815865531e-03
